21-11-2024 15:23:05 | EASY_Big_down_loop | INFO | На состояние 15:23:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:23:05 | EASY_Big_down_loop | INFO | На состояние 15:23:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:23:05 | EASY_Big_down_loop | INFO | Price change detected: 0.13577163917943835%
21-11-2024 15:23:05 | EASY_Big_down_loop | INFO | Price change detected: 0.13577163917943835%
21-11-2024 15:23:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488257043094888449038
21-11-2024 15:23:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488257043266871296038
21-11-2024 15:23:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:23:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:23:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488257062455803906038
21-11-2024 15:23:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488257062686507008038
21-11-2024 15:23:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:23:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:24:05 | EASY_Big_down_loop | INFO | На состояние 15:24:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:24:05 | EASY_Big_down_loop | INFO | На состояние 15:24:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Success! Got 0.001403000000000043usdt intrade C02__488257062686507008038
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Success! Got 0.001403000000000043usdt intrade C02__488257062455803906038
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Bet C02__488257043266871296038 completed and removed.
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Bet C02__488257043094888449038 completed and removed.
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:24:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | На состояние 15:25:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | На состояние 15:25:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | На состояние 15:26:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | На состояние 15:26:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:26:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:27:05 | EASY_Big_down_loop | INFO | На состояние 15:27:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:27:05 | EASY_Big_down_loop | INFO | На состояние 15:27:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:27:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:27:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:27:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:27:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | На состояние 15:28:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | На состояние 15:28:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:28:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:29:05 | EASY_Big_down_loop | INFO | На состояние 15:29:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:29:05 | EASY_Big_down_loop | INFO | На состояние 15:29:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:29:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:29:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:29:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:29:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | На состояние 15:30:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | На состояние 15:30:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:31:05 | EASY_Big_down_loop | INFO | На состояние 15:31:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:31:05 | EASY_Big_down_loop | INFO | На состояние 15:31:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:31:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:31:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:31:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:31:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:32:05 | EASY_Big_down_loop | INFO | На состояние 15:32:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:32:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:32:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:32:05 | EASY_Big_down_loop | INFO | На состояние 15:32:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:32:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:32:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | На состояние 15:33:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | На состояние 15:33:05 активных ставок: 0, денег: 51.001$
